zipcode,chicago,minority,companies_name,name,bi_policy_premium,pd_policy_premium,state_risk,white_non_hisp_pct,risk_difference,combined_premium
60004,FALSE,FALSE,Travelers Commercial Ins Co,Travelers Grp,192,137.0,192.768946870212,81.8,136.231053129788,329.0
60004,FALSE,FALSE,Progressive Direct Ins Co,PROGRESSIVE GRP,355,221.0,192.768946870212,81.8,383.231053129788,576.0
60004,FALSE,FALSE,Liberty Mut Fire Ins Co,LIBERTY MUT GRP,397,0.0,192.768946870212,81.8,204.231053129788,397.0
60004,FALSE,FALSE,Geico Gen Ins Co,BERKSHIRE HATHAWAY GRP,132,151.0,192.768946870212,81.8,90.231053129788,283.0
60004,FALSE,FALSE,Safeco Ins Co Of IL,LIBERTY MUT GRP,150,197.0,192.768946870212,81.8,154.231053129788,347.0
60004,FALSE,FALSE,Garrison Prop & Cas Ins Co,UNITED SERV AUTOMOBILE ASSN GRP,176,176.0,192.768946870212,81.8,159.231053129788,352.0
60004,FALSE,FALSE,Allstate Fire & Cas Ins Co,ALLSTATE INS GRP,263,190.0,192.768946870212,81.8,260.231053129788,453.0
60004,FALSE,FALSE,United Serv Automobile Assn,UNITED SERV AUTOMOBILE ASSN GRP,92,83.0,192.768946870212,81.8,-17.768946870212005,175.0
60004,FALSE,FALSE,Government Employees Ins Co,BERKSHIRE HATHAWAY GRP,132,151.0,192.768946870212,81.8,90.231053129788,283.0
60004,FALSE,FALSE,Country Mut Ins Co,Country Ins & Fin Serv Grp,189,161.0,192.768946870212,81.8,157.231053129788,350.0
60004,FALSE,FALSE,USAA Cas Ins Co,UNITED SERV AUTOMOBILE ASSN GRP,92,99.0,192.768946870212,81.8,-1.7689468702120053,191.0
60004,FALSE,FALSE,Metropolitan Cas Ins Co,METROPOLITAN GRP,248,184.0,192.768946870212,81.8,239.231053129788,432.0
60004,FALSE,FALSE,USAA Gen Ind Co,UNITED SERV AUTOMOBILE ASSN GRP,150,163.0,192.768946870212,81.8,120.231053129788,313.0
60004,FALSE,FALSE,Owners Ins Co,AUTO OWNERS GRP,281,185.0,192.768946870212,81.8,273.231053129788,466.0
60004,FALSE,FALSE,Erie Ins Co,ERIE INS GRP,225,179.0,192.768946870212,81.8,211.231053129788,404.0
60004,FALSE,FALSE,Trumbull Ins Co,HARTFORD FIRE & CAS GRP,182,48.0,192.768946870212,81.8,37.231053129787995,230.0
60004,FALSE,FALSE,Country Pref Ins Co,Country Ins & Fin Serv Grp,185,158.0,192.768946870212,81.8,150.231053129788,343.0
60004,FALSE,FALSE,Geico Ind Co,BERKSHIRE HATHAWAY GRP,288,325.0,192.768946870212,81.8,420.231053129788,613.0
60005,FALSE,FALSE,Progressive Northern Ins Co,PROGRESSIVE GRP,234,238.0,185.830315939614,78.7,286.169684060386,472.0
60005,FALSE,FALSE,Trumbull Ins Co,HARTFORD FIRE & CAS GRP,182,47.0,185.830315939614,78.7,43.169684060386004,229.0
60005,FALSE,FALSE,State Farm Fire & Cas Co,STATE FARM GRP,435,0.0,185.830315939614,78.7,249.169684060386,435.0
60005,FALSE,FALSE,Travelers Commercial Ins Co,Travelers Grp,210,159.0,185.830315939614,78.7,183.169684060386,369.0
60005,FALSE,FALSE,First Liberty Ins Corp,LIBERTY MUT GRP,405,0.0,185.830315939614,78.7,219.169684060386,405.0
60005,FALSE,FALSE,Metropolitan Prop & Cas Ins Co,METROPOLITAN GRP,162,148.0,185.830315939614,78.7,124.169684060386,310.0
60005,FALSE,FALSE,Travelers Home & Marine Ins Co,Travelers Grp,220,166.0,185.830315939614,78.7,200.169684060386,386.0
60005,FALSE,FALSE,Geico Cas Co,BERKSHIRE HATHAWAY GRP,154,204.0,185.830315939614,78.7,172.169684060386,358.0
60005,FALSE,FALSE,Economy Preferred Ins Co,METROPOLITAN GRP,198,147.0,185.830315939614,78.7,159.169684060386,345.0
60005,FALSE,FALSE,USAA Cas Ins Co,UNITED SERV AUTOMOBILE ASSN GRP,100,99.0,185.830315939614,78.7,13.169684060386004,199.0
60005,FALSE,FALSE,Metropolitan Cas Ins Co,METROPOLITAN GRP,248,184.0,185.830315939614,78.7,246.169684060386,432.0
60005,FALSE,FALSE,Erie Ins Co,ERIE INS GRP,225,179.0,185.830315939614,78.7,218.169684060386,404.0
60005,FALSE,FALSE,Allstate Ind Co,ALLSTATE INS GRP,436,219.0,185.830315939614,78.7,469.169684060386,655.0
60005,FALSE,FALSE,Owners Ins Co,AUTO OWNERS GRP,281,185.0,185.830315939614,78.7,280.169684060386,466.0
60005,FALSE,FALSE,Country Mut Ins Co,Country Ins & Fin Serv Grp,189,161.0,185.830315939614,78.7,164.169684060386,350.0
60005,FALSE,FALSE,Metropolitan Grp Prop & Cas Ins Co,METROPOLITAN GRP,269,248.0,185.830315939614,78.7,331.169684060386,517.0
60005,FALSE,FALSE,Geico Ind Co,BERKSHIRE HATHAWAY GRP,288,325.0,185.830315939614,78.7,427.169684060386,613.0
60005,FALSE,FALSE,Government Employees Ins Co,BERKSHIRE HATHAWAY GRP,132,151.0,185.830315939614,78.7,97.169684060386,283.0
60005,FALSE,FALSE,Illinois Farmers Ins Co,FARMERS INS GRP,168,227.0,185.830315939614,78.7,209.169684060386,395.0
60005,FALSE,FALSE,Farmers Automobile Ins Assoc,PEKIN INS GRP,194,137.0,185.830315939614,78.7,145.169684060386,331.0
60005,FALSE,FALSE,United Serv Automobile Assn,UNITED SERV AUTOMOBILE ASSN GRP,103,83.0,185.830315939614,78.7,0.16968406038600392,186.0
60005,FALSE,FALSE,USAA Gen Ind Co,UNITED SERV AUTOMOBILE ASSN GRP,150,175.0,185.830315939614,78.7,139.169684060386,325.0
60005,FALSE,FALSE,Country Pref Ins Co,Country Ins & Fin Serv Grp,185,158.0,185.830315939614,78.7,157.169684060386,343.0
60005,FALSE,FALSE,American Standard Ins Co of WI,AMERICAN FAMILY INS GRP,789,0.0,185.830315939614,78.7,603.169684060386,789.0
60005,FALSE,FALSE,Progressive Universal Ins Co,PROGRESSIVE GRP,313,178.0,185.830315939614,78.7,305.169684060386,491.0
60005,FALSE,FALSE,Geico Gen Ins Co,BERKSHIRE HATHAWAY GRP,132,151.0,185.830315939614,78.7,97.169684060386,283.0
60005,FALSE,FALSE,Progressive Direct Ins Co,PROGRESSIVE GRP,362,212.0,185.830315939614,78.7,388.169684060386,574.0
60005,FALSE,FALSE,State Farm Mut Auto Ins Co,STATE FARM GRP,392,0.0,185.830315939614,78.7,206.169684060386,392.0
60005,FALSE,FALSE,Garrison Prop & Cas Ins Co,UNITED SERV AUTOMOBILE ASSN GRP,164,176.0,185.830315939614,78.7,154.169684060386,340.0
60005,FALSE,FALSE,Erie Ins Exch,ERIE INS GRP,196,150.0,185.830315939614,78.7,160.169684060386,346.0
60005,FALSE,FALSE,Liberty Mut Fire Ins Co,LIBERTY MUT GRP,397,0.0,185.830315939614,78.7,211.169684060386,397.0
60005,FALSE,FALSE,Allstate Fire & Cas Ins Co,ALLSTATE INS GRP,263,190.0,185.830315939614,78.7,267.169684060386,453.0
60005,FALSE,FALSE,Safeco Ins Co Of IL,LIBERTY MUT GRP,150,195.0,185.830315939614,78.7,159.169684060386,345.0
60005,FALSE,FALSE,American Family Mut Ins Co,AMERICAN FAMILY INS GRP,460,0.0,185.830315939614,78.7,274.169684060386,460.0
60007,FALSE,FALSE,Travelers Commercial Ins Co,Travelers Grp,194,133.0,186.990224949841,76.9,140.009775050159,327.0
60007,FALSE,FALSE,Metropolitan Prop & Cas Ins Co,METROPOLITAN GRP,162,148.0,186.990224949841,76.9,123.00977505015899,310.0
60007,FALSE,FALSE,Metropolitan Grp Prop & Cas Ins Co,METROPOLITAN GRP,269,248.0,186.990224949841,76.9,330.00977505015896,517.0
60007,FALSE,FALSE,Progressive Northern Ins Co,PROGRESSIVE GRP,238,240.0,186.990224949841,76.9,291.00977505015896,478.0
60007,FALSE,FALSE,State Farm Fire & Cas Co,STATE FARM GRP,421,0.0,186.990224949841,76.9,234.009775050159,421.0
60007,FALSE,FALSE,Illinois Farmers Ins Co,FARMERS INS GRP,182,205.0,186.990224949841,76.9,200.009775050159,387.0
60007,FALSE,FALSE,Farmers Automobile Ins Assoc,PEKIN INS GRP,173,122.0,186.990224949841,76.9,108.00977505015899,295.0
60007,FALSE,FALSE,USAA Cas Ins Co,UNITED SERV AUTOMOBILE ASSN GRP,100,99.0,186.990224949841,76.9,12.009775050158993,199.0
60007,FALSE,FALSE,Progressive Direct Ins Co,PROGRESSIVE GRP,366,214.0,186.990224949841,76.9,393.00977505015896,580.0
60007,FALSE,FALSE,Trumbull Ins Co,HARTFORD FIRE & CAS GRP,182,47.0,186.990224949841,76.9,42.00977505015899,229.0
60007,FALSE,FALSE,American Family Mut Ins Co,AMERICAN FAMILY INS GRP,458,0.0,186.990224949841,76.9,271.00977505015896,458.0
60007,FALSE,FALSE,Owners Ins Co,AUTO OWNERS GRP,281,185.0,186.990224949841,76.9,279.00977505015896,466.0
60007,FALSE,FALSE,Country Pref Ins Co,Country Ins & Fin Serv Grp,185,158.0,186.990224949841,76.9,156.009775050159,343.0
60007,FALSE,FALSE,First Liberty Ins Corp,LIBERTY MUT GRP,405,0.0,186.990224949841,76.9,218.009775050159,405.0
60007,FALSE,FALSE,Geico Cas Co,BERKSHIRE HATHAWAY GRP,154,204.0,186.990224949841,76.9,171.009775050159,358.0
60007,FALSE,FALSE,Geico Ind Co,BERKSHIRE HATHAWAY GRP,288,325.0,186.990224949841,76.9,426.00977505015896,613.0
60007,FALSE,FALSE,Safeco Ins Co Of IL,LIBERTY MUT GRP,150,197.0,186.990224949841,76.9,160.009775050159,347.0
60007,FALSE,FALSE,Travelers Home & Marine Ins Co,Travelers Grp,203,139.0,186.990224949841,76.9,155.009775050159,342.0
60007,FALSE,FALSE,United Serv Automobile Assn,UNITED SERV AUTOMOBILE ASSN GRP,103,83.0,186.990224949841,76.9,-0.9902249498410072,186.0
60007,FALSE,FALSE,Allstate Fire & Cas Ins Co,ALLSTATE INS GRP,273,191.0,186.990224949841,76.9,277.00977505015896,464.0
60007,FALSE,FALSE,Erie Ins Co,ERIE INS GRP,225,179.0,186.990224949841,76.9,217.009775050159,404.0
60007,FALSE,FALSE,Progressive Universal Ins Co,PROGRESSIVE GRP,316,180.0,186.990224949841,76.9,309.00977505015896,496.0
60007,FALSE,FALSE,Allstate Ind Co,ALLSTATE INS GRP,436,219.0,186.990224949841,76.9,468.00977505015896,655.0
60007,FALSE,FALSE,Government Employees Ins Co,BERKSHIRE HATHAWAY GRP,132,151.0,186.990224949841,76.9,96.00977505015899,283.0
60007,FALSE,FALSE,Geico Gen Ins Co,BERKSHIRE HATHAWAY GRP,132,151.0,186.990224949841,76.9,96.00977505015899,283.0
60007,FALSE,FALSE,State Farm Mut Auto Ins Co,STATE FARM GRP,379,0.0,186.990224949841,76.9,192.009775050159,379.0
60007,FALSE,FALSE,Metropolitan Cas Ins Co,METROPOLITAN GRP,230,198.0,186.990224949841,76.9,241.009775050159,428.0
60007,FALSE,FALSE,USAA Gen Ind Co,UNITED SERV AUTOMOBILE ASSN GRP,150,175.0,186.990224949841,76.9,138.009775050159,325.0
60007,FALSE,FALSE,Liberty Mut Fire Ins Co,LIBERTY MUT GRP,397,0.0,186.990224949841,76.9,210.009775050159,397.0
60007,FALSE,FALSE,Economy Preferred Ins Co,METROPOLITAN GRP,182,156.0,186.990224949841,76.9,151.009775050159,338.0
60007,FALSE,FALSE,Country Mut Ins Co,Country Ins & Fin Serv Grp,189,161.0,186.990224949841,76.9,163.009775050159,350.0
60007,FALSE,FALSE,American Standard Ins Co of WI,AMERICAN FAMILY INS GRP,785,0.0,186.990224949841,76.9,598.009775050159,785.0
60007,FALSE,FALSE,Garrison Prop & Cas Ins Co,UNITED SERV AUTOMOBILE ASSN GRP,164,176.0,186.990224949841,76.9,153.009775050159,340.0
60007,FALSE,FALSE,Erie Ins Exch,ERIE INS GRP,196,150.0,186.990224949841,76.9,159.009775050159,346.0
60008,FALSE,FALSE,United Serv Automobile Assn,UNITED SERV AUTOMOBILE ASSN GRP,103,83.0,205.867114855086,62.3,-19.867114855085987,186.0
60008,FALSE,FALSE,First Liberty Ins Corp,LIBERTY MUT GRP,424,0.0,205.867114855086,62.3,218.132885144914,424.0
60008,FALSE,FALSE,Geico Cas Co,BERKSHIRE HATHAWAY GRP,154,204.0,205.867114855086,62.3,152.132885144914,358.0
60008,FALSE,FALSE,Geico Gen Ins Co,BERKSHIRE HATHAWAY GRP,132,151.0,205.867114855086,62.3,77.13288514491401,283.0
60008,FALSE,FALSE,Government Employees Ins Co,BERKSHIRE HATHAWAY GRP,132,151.0,205.867114855086,62.3,77.13288514491401,283.0
60008,FALSE,FALSE,Metropolitan Grp Prop & Cas Ins Co,METROPOLITAN GRP,269,248.0,205.867114855086,62.3,311.132885144914,517.0
60008,FALSE,FALSE,Illinois Farmers Ins Co,FARMERS INS GRP,194,205.0,205.867114855086,62.3,193.132885144914,399.0
60008,FALSE,FALSE,Trumbull Ins Co,HARTFORD FIRE & CAS GRP,182,45.0,205.867114855086,62.3,21.132885144914013,227.0
60008,FALSE,FALSE,American Family Mut Ins Co,AMERICAN FAMILY INS GRP,477,0.0,205.867114855086,62.3,271.132885144914,477.0
60008,FALSE,FALSE,Country Pref Ins Co,Country Ins & Fin Serv Grp,194,166.0,205.867114855086,62.3,154.132885144914,360.0
60008,FALSE,FALSE,State Farm Fire & Cas Co,STATE FARM GRP,423,0.0,205.867114855086,62.3,217.132885144914,423.0
60008,FALSE,FALSE,Liberty Mut Fire Ins Co,LIBERTY MUT GRP,416,0.0,205.867114855086,62.3,210.132885144914,416.0
60008,FALSE,FALSE,Progressive Northern Ins Co,PROGRESSIVE GRP,227,214.0,205.867114855086,62.3,235.132885144914,441.0
60008,FALSE,FALSE,Progressive Universal Ins Co,PROGRESSIVE GRP,307,160.0,205.867114855086,62.3,261.132885144914,467.0
60008,FALSE,FALSE,Safeco Ins Co Of IL,LIBERTY MUT GRP,161,206.0,205.867114855086,62.3,161.132885144914,367.0
60008,FALSE,FALSE,Travelers Home & Marine Ins Co,Travelers Grp,215,157.0,205.867114855086,62.3,166.132885144914,372.0
60008,FALSE,FALSE,Metropolitan Cas Ins Co,METROPOLITAN GRP,248,184.0,205.867114855086,62.3,226.132885144914,432.0
60008,FALSE,FALSE,Economy Preferred Ins Co,METROPOLITAN GRP,198,147.0,205.867114855086,62.3,139.132885144914,345.0
60008,FALSE,FALSE,USAA Gen Ind Co,UNITED SERV AUTOMOBILE ASSN GRP,150,175.0,205.867114855086,62.3,119.13288514491401,325.0
60008,FALSE,FALSE,Progressive Direct Ins Co,PROGRESSIVE GRP,355,191.0,205.867114855086,62.3,340.132885144914,546.0
60008,FALSE,FALSE,American Standard Ins Co of WI,AMERICAN FAMILY INS GRP,819,0.0,205.867114855086,62.3,613.132885144914,819.0
60008,FALSE,FALSE,Travelers Commercial Ins Co,Travelers Grp,206,150.0,205.867114855086,62.3,150.132885144914,356.0
60008,FALSE,FALSE,Farmers Automobile Ins Assoc,PEKIN INS GRP,173,122.0,205.867114855086,62.3,89.13288514491401,295.0
60008,FALSE,FALSE,Metropolitan Prop & Cas Ins Co,METROPOLITAN GRP,162,148.0,205.867114855086,62.3,104.13288514491401,310.0
60008,FALSE,FALSE,USAA Cas Ins Co,UNITED SERV AUTOMOBILE ASSN GRP,100,99.0,205.867114855086,62.3,-6.867114855085987,199.0
60008,FALSE,FALSE,Allstate Fire & Cas Ins Co,ALLSTATE INS GRP,263,190.0,205.867114855086,62.3,247.132885144914,453.0
60008,FALSE,FALSE,Allstate Ind Co,ALLSTATE INS GRP,485,243.0,205.867114855086,62.3,522.132885144914,728.0
60008,FALSE,FALSE,State Farm Mut Auto Ins Co,STATE FARM GRP,381,0.0,205.867114855086,62.3,175.132885144914,381.0
60008,FALSE,FALSE,Owners Ins Co,AUTO OWNERS GRP,278,187.0,205.867114855086,62.3,259.132885144914,465.0
60008,FALSE,FALSE,Country Mut Ins Co,Country Ins & Fin Serv Grp,199,170.0,205.867114855086,62.3,163.132885144914,369.0
60008,FALSE,FALSE,Erie Ins Exch,ERIE INS GRP,196,150.0,205.867114855086,62.3,140.132885144914,346.0
60008,FALSE,FALSE,Erie Ins Co,ERIE INS GRP,225,179.0,205.867114855086,62.3,198.132885144914,404.0
60008,FALSE,FALSE,Geico Ind Co,BERKSHIRE HATHAWAY GRP,288,325.0,205.867114855086,62.3,407.132885144914,613.0
60008,FALSE,FALSE,Garrison Prop & Cas Ins Co,UNITED SERV AUTOMOBILE ASSN GRP,164,176.0,205.867114855086,62.3,134.132885144914,340.0
60010,FALSE,FALSE,First Liberty Ins Corp,LIBERTY MUT GRP,400,0.0,232.63992398198,82.6,167.36007601802,400.0
60010,FALSE,FALSE,Illinois Farmers Ins Co,FARMERS INS GRP,307,220.0,232.63992398198,82.6,294.36007601802,527.0
60010,FALSE,FALSE,United Serv Automobile Assn,UNITED SERV AUTOMOBILE ASSN GRP,100,88.0,232.63992398198,82.6,-44.63992398197999,188.0
60010,FALSE,FALSE,Metropolitan Cas Ins Co,METROPOLITAN GRP,309,246.0,232.63992398198,82.6,322.36007601802,555.0
60010,FALSE,FALSE,Progressive Northern Ins Co,PROGRESSIVE GRP,223,214.0,232.63992398198,82.6,204.36007601802,437.0
60010,FALSE,FALSE,Government Employees Ins Co,BERKSHIRE HATHAWAY GRP,132,154.0,232.63992398198,82.6,53.36007601802001,286.0
60010,FALSE,FALSE,State Farm Fire & Cas Co,STATE FARM GRP,478,0.0,232.63992398198,82.6,245.36007601802,478.0
60010,FALSE,FALSE,State Farm Mut Auto Ins Co,STATE FARM GRP,430,0.0,232.63992398198,82.6,197.36007601802,430.0
60010,FALSE,FALSE,Liberty Mut Fire Ins Co,LIBERTY MUT GRP,392,0.0,232.63992398198,82.6,159.36007601802,392.0
60010,FALSE,FALSE,Economy Preferred Ins Co,METROPOLITAN GRP,236,186.0,232.63992398198,82.6,189.36007601802,422.0
60010,FALSE,FALSE,Metropolitan Grp Prop & Cas Ins Co,METROPOLITAN GRP,317,299.0,232.63992398198,82.6,383.36007601802,616.0
60010,FALSE,FALSE,Geico Gen Ins Co,BERKSHIRE HATHAWAY GRP,132,154.0,232.63992398198,82.6,53.36007601802001,286.0
60010,FALSE,FALSE,Progressive Direct Ins Co,PROGRESSIVE GRP,351,191.0,232.63992398198,82.6,309.36007601802,542.0
60010,FALSE,FALSE,Travelers Commercial Ins Co,Travelers Grp,193,132.0,232.63992398198,82.6,92.36007601802001,325.0
60010,FALSE,FALSE,Erie Ins Co,ERIE INS GRP,238,185.0,232.63992398198,82.6,190.36007601802,423.0
60010,FALSE,FALSE,American Family Mut Ins Co,AMERICAN FAMILY INS GRP,460,0.0,232.63992398198,82.6,227.36007601802,460.0
60010,FALSE,FALSE,Travelers Home & Marine Ins Co,Travelers Grp,202,138.0,232.63992398198,82.6,107.36007601802001,340.0
60010,FALSE,FALSE,Owners Ins Co,AUTO OWNERS GRP,278,187.0,232.63992398198,82.6,232.36007601802,465.0
60010,FALSE,FALSE,American Standard Ins Co of WI,AMERICAN FAMILY INS GRP,789,0.0,232.63992398198,82.6,556.36007601802,789.0
60010,FALSE,FALSE,Progressive Universal Ins Co,PROGRESSIVE GRP,304,160.0,232.63992398198,82.6,231.36007601802,464.0
60010,FALSE,FALSE,Farmers Automobile Ins Assoc,PEKIN INS GRP,206,146.0,232.63992398198,82.6,119.36007601802001,352.0
60010,FALSE,FALSE,Metropolitan Prop & Cas Ins Co,METROPOLITAN GRP,196,206.0,232.63992398198,82.6,169.36007601802,402.0
60010,FALSE,FALSE,Allstate Fire & Cas Ins Co,ALLSTATE INS GRP,286,209.0,232.63992398198,82.6,262.36007601802,495.0
60010,FALSE,FALSE,Erie Ins Exch,ERIE INS GRP,207,157.0,232.63992398198,82.6,131.36007601802,364.0
60010,FALSE,FALSE,Safeco Ins Co Of IL,LIBERTY MUT GRP,151,197.0,232.63992398198,82.6,115.36007601802001,348.0
60010,FALSE,FALSE,Trumbull Ins Co,HARTFORD FIRE & CAS GRP,182,47.0,232.63992398198,82.6,-3.6399239819799902,229.0
60010,FALSE,FALSE,Allstate Ind Co,ALLSTATE INS GRP,514,284.0,232.63992398198,82.6,565.36007601802,798.0
60010,FALSE,FALSE,Country Mut Ins Co,Country Ins & Fin Serv Grp,199,170.0,232.63992398198,82.6,136.36007601802,369.0
60010,FALSE,FALSE,Geico Cas Co,BERKSHIRE HATHAWAY GRP,174,168.0,232.63992398198,82.6,109.36007601802001,342.0
60010,FALSE,FALSE,USAA Gen Ind Co,UNITED SERV AUTOMOBILE ASSN GRP,146,171.0,232.63992398198,82.6,84.36007601802001,317.0
